examy,cat_age,pCT,1 CT(s),2 CT(s),3 CT(s),4 CT(s),5 CT(s),6 CT(s),7 CT(s),8 CT(s),9 CT(s),10 CT(s),11 CT(s),12 CT(s),16 CT(s),21 CT(s),13 CT(s),19 CT(s),14 CT(s),15 CT(s),17 CT(s),25 CT(s),18 CT(s),22 CT(s),20 CT(s)
1979,1,0.00352397033991631,0.863070539419087,0.0954356846473029,0.029045643153527,0.00829875518672199,0.004149377593361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,1,0.00340161025866921,0.824074074074074,0.106481481481481,0.0416666666666667,0.0185185185185185,0.00462962962962963,0.00462962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,1,0.00294887795805496,0.841584158415842,0.133663366336634,0.0148514851485149,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,1,0.00305900203117735,0.835820895522388,0.119402985074627,0.0248756218905473,0.00995024875621891,0.00497512437810945,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,0.0044294349411448,0.780669144981413,0.163568773234201,0.0148698884758364,0.0185873605947955,0.0148698884758364,0.00743494423791822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,0.00811247338668233,0.817097415506958,0.113320079522863,0.0357852882703777,0.0198807157057654,0.00795228628230616,0.00198807157057654,0,0.00198807157057654,0,0.00198807157057654,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,0.0121870640922106,0.773876404494382,0.13623595505618,0.047752808988764,0.0224719101123595,0.0112359550561798,0.00280898876404494,0.00280898876404494,0,0.00140449438202247,0.00140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1,0.013936813254044,0.804449648711944,0.121779859484778,0.0444964871194379,0.0152224824355972,0.00702576112412178,0.00234192037470726,0.00117096018735363,0.00117096018735363,0,0.00117096018735363,0.00117096018735363,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,0.0137777451484228,0.839772727272727,0.0977272727272727,0.0386363636363636,0.00568181818181818,0.00795454545454545,0.00681818181818182,0.00227272727272727,0.00113636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,0.0144751976115312,0.845070422535211,0.0975081256771398,0.0314192849404117,0.0119176598049837,0.0075839653304442,0.00216684723726977,0,0,0,0.00216684723726977,0,0.00108342361863489,0,0,0.00108342361863489,0,0,0,0,0,0,0,0
1989,1,0.0158211585052492,0.851741293532338,0.0925373134328358,0.026865671641791,0.0139303482587065,0.00199004975124378,0.00497512437810945,0.00298507462686567,0.00298507462686567,0,0.00099502487562189,0,0,0,0,0,0.00099502487562189,0,0,0,0,0,0,0
1990,1,0.0137410371240487,0.86028602860286,0.0935093509350935,0.0275027502750275,0.0077007700770077,0.0044004400440044,0.0011001100110011,0.0022002200220022,0.0022002200220022,0,0,0,0.0011001100110011,0,0,0,0,0,0,0,0,0,0,0
1991,1,0.014989109952769,0.855249745158002,0.0978593272171254,0.0275229357798165,0.00611620795107034,0.00713557594291539,0.00203873598369011,0,0.00101936799184506,0,0,0.00203873598369011,0.00101936799184506,0,0,0,0,0,0,0,0,0,0,0
1992,1,0.0165797910089812,0.854976303317535,0.0900473933649289,0.0293838862559242,0.0113744075829384,0.0028436018957346,0.0037914691943128,0.0018957345971564,0.000947867298578199,0,0.0018957345971564,0,0.000947867298578199,0,0,0,0,0.000947867298578199,0.000947867298578199,0,0,0,0,0
1993,1,0.0160658786677434,0.8625,0.0942307692307692,0.0173076923076923,0.00865384615384615,0.00769230769230769,0.00384615384615385,0,0.00192307692307692,0.000961538461538462,0.000961538461538462,0,0,0.000961538461538462,0,0,0,0,0.000961538461538462,0,0,0,0,0
1994,1,0.0181949440814429,0.852817493692178,0.0967199327165685,0.024390243902439,0.0117746005046257,0.0100925147182506,0.00168208578637511,0,0,0.00168208578637511,0.000841042893187553,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,0.0225509629738394,0.852493074792244,0.0983379501385042,0.0214681440443213,0.0131578947368421,0.00207756232686981,0.00277008310249307,0.00415512465373961,0.00207756232686981,0.00138504155124654,0,0.000692520775623269,0.000692520775623269,0,0,0.000692520775623269,0,0,0,0,0,0,0,0
1996,1,0.0238969238675574,0.850032320620556,0.0937297996121526,0.0310277957336781,0.0129282482223659,0.00581771170006464,0.00387847446670976,0,0,0.000646412411118293,0.00129282482223659,0,0,0,0,0,0,0.000646412411118293,0,0,0,0,0,0
1997,1,0.0267846217849889,0.859897901304594,0.0930232558139535,0.0221213840045377,0.0107770845150312,0.00794100964265457,0.00170164492342598,0.00113442994895065,0.00283607487237663,0,0.000567214974475326,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,0.0281917627193304,0.856753812636166,0.0958605664488017,0.0234204793028322,0.00925925925925926,0.00490196078431373,0.00272331154684096,0.00326797385620915,0.00163398692810458,0.00108932461873638,0,0.000544662309368192,0.000544662309368192,0,0,0,0,0,0,0,0,0,0,0
1999,1,0.0311773487017595,0.846153846153846,0.106893106893107,0.0184815184815185,0.012987012987013,0.00599400599400599,0.0024975024975025,0.001998001998002,0.001998001998002,0.001998001998002,0,0.0004995004995005,0,0,0,0,0,0.0004995004995005,0,0,0,0,0,0
2000,1,0.0391185179746959,0.84430176565008,0.101926163723917,0.0276886035313002,0.00963081861958266,0.00561797752808989,0.00280898876404494,0.00200642054574639,0.00321027287319422,0.000802568218298555,0.00120385232744783,0.000401284109149278,0.000401284109149278,0,0,0,0,0,0,0,0,0,0,0
2001,1,0.0382252893815921,0.85426731078905,0.0966183574879227,0.0221417069243156,0.0128824476650564,0.00644122383252818,0.00281803542673108,0.00201288244766506,0.000402576489533011,0.000805152979066023,0.000402576489533011,0,0.00120772946859903,0,0,0,0,0,0,0,0,0,0,0
2002,1,0.0412842914127695,0.859760658189978,0.0919970082273747,0.0216903515332835,0.0112191473448018,0.00598354525056096,0.00224382946896036,0.00299177262528048,0.00149588631264024,0.00037397157816006,0.00074794315632012,0.00074794315632012,0,0.00037397157816006,0,0,0,0,0,0,0,0.00037397157816006,0,0
2003,1,0.0430952206152265,0.852804573061808,0.0950339406931047,0.0275098249374777,0.0110753840657378,0.00571632725973562,0.00250089317613433,0.00214362272240086,0.00107181136120043,0.00107181136120043,0.000357270453733476,0.000357270453733476,0.000357270453733476,0,0,0,0,0,0,0,0,0,0,0
2004,1,0.044208697354575,0.843563661873027,0.103472465801473,0.0270080673447913,0.0133286566117152,0.00561206594177482,0.0014030164854437,0.00280603297088741,0.00105226236408278,0.000701508242721852,0.000701508242721852,0,0,0,0,0.000350754121360926,0,0,0,0,0,0,0,0
2005,1,0.0560164451949196,0.859475374732334,0.096627408993576,0.0256959314775161,0.00936830835117773,0.0034796573875803,0.00187366167023555,0.000535331905781585,0.00240899357601713,0.000267665952890792,0,0,0,0,0,0,0,0,0.000267665952890792,0,0,0,0,0
2006,1,0.0638352543866089,0.844152744630072,0.114081145584726,0.0205250596658711,0.00930787589498807,0.00644391408114558,0.00214797136038186,0.00167064439140811,0.000238663484486874,0.000477326968973747,0.000477326968973747,0,0.000238663484486874,0,0,0,0,0.000238663484486874,0,0,0,0,0,0
2007,1,0.0671756846046546,0.839478417266187,0.123875899280576,0.0188848920863309,0.00989208633093525,0.00269784172661871,0.00269784172661871,0.00112410071942446,0.000449640287769784,0,0.000224820143884892,0.000674460431654676,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,0.0627462496635098,0.852001906577693,0.11487130600572,0.0178741658722593,0.00667302192564347,0.00357483317445186,0.00142993326978074,0.00119161105815062,0,0.000476644423260248,0.000476644423260248,0.000953288846520496,0.000476644423260248,0,0,0,0,0,0,0,0,0,0,0
2009,1,0.062232337322272,0.855193872666347,0.109143130684538,0.0189085686931546,0.00885591191957875,0.00287218764959311,0.0019147917663954,0.00119674485399713,0.000718046912398277,0.000478697941598851,0.000478697941598851,0.000239348970799426,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,0.0617306609891589,0.861871874255775,0.102643486544415,0.0192903072160038,0.010478685401286,0.00238151940938319,0.00190521552750655,0.000476303881876637,0.000714455822814956,0.000238151940938319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,0.0562244573330397,0.871108824286082,0.0982763056341652,0.0182660149215333,0.00694623102649859,0.00360174942114741,0.00102907126318498,0,0.000257267815796244,0.000257267815796244,0,0,0,0,0,0.000257267815796244,0,0,0,0,0,0,0,0
2012,1,0.0562611653574138,0.860894435777431,0.109464378575143,0.015080603224129,0.00832033281331253,0.0031201248049922,0.00208008320332813,0,0.00078003120124805,0,0,0.000260010400416017,0,0,0,0,0,0,0,0,0,0,0,0
