examy,cat_age,aa,ha,hc,hh,ac,cc
1979,2,0,0,0.1,0.7,0.1,0.1
1980,2,0.1,0.05,0.1,0.5,0.05,0.2
1981,2,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.458333333333333,0.0833333333333333,0.291666666666667
1982,2,0.0625,0,0.0625,0.625,0.125,0.125
1983,2,0.0526315789473684,0,0.0526315789473684,0.763157894736842,0.0526315789473684,0.0789473684210526
1984,2,0.027027027027027,0.027027027027027,0,0.675675675675676,0.108108108108108,0.162162162162162
1985,2,0.0151515151515152,0.0151515151515152,0.0454545454545455,0.818181818181818,0,0.106060606060606
1986,2,0,0.0153846153846154,0,0.876923076923077,0.0461538461538462,0.0615384615384615
1987,2,0.0526315789473684,0.0175438596491228,0,0.842105263157895,0.087719298245614,0
1988,2,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.819672131147541,0.0655737704918033,0.0327868852459016
1989,2,0.02,0.06,0,0.86,0.02,0.04
1990,2,0.0727272727272727,0,0.0363636363636364,0.854545454545454,0.0363636363636364,0
1991,2,0.106382978723404,0.0638297872340425,0,0.702127659574468,0.0851063829787234,0.0425531914893617
1992,2,0.0307692307692308,0.0153846153846154,0.0153846153846154,0.707692307692308,0.215384615384615,0.0153846153846154
1993,2,0.107142857142857,0.0357142857142857,0.0357142857142857,0.625,0.178571428571429,0.0178571428571429
1994,2,0.0972222222222222,0.0138888888888889,0.0277777777777778,0.652777777777778,0.138888888888889,0.0694444444444444
1995,2,0.0408163265306122,0.0816326530612245,0.0408163265306122,0.714285714285714,0.112244897959184,0.0102040816326531
1996,2,0.075,0.025,0.0375,0.6875,0.1375,0.0375
1997,2,0.094017094017094,0.0683760683760684,0.0427350427350427,0.615384615384615,0.102564102564103,0.0769230769230769
1998,2,0.111888111888112,0.027972027972028,0.0839160839160839,0.65034965034965,0.0699300699300699,0.0559440559440559
1999,2,0.103225806451613,0.0709677419354839,0.032258064516129,0.67741935483871,0.0516129032258065,0.0645161290322581
2000,2,0.0753768844221105,0.0703517587939698,0.0753768844221105,0.592964824120603,0.110552763819095,0.0753768844221105
2001,2,0.108433734939759,0.0803212851405622,0.0642570281124498,0.642570281124498,0.0763052208835341,0.0281124497991968
2002,2,0.105058365758755,0.066147859922179,0.0739299610894942,0.622568093385214,0.0817120622568093,0.0505836575875486
2003,2,0.122676579925651,0.0446096654275093,0.0929368029739777,0.613382899628253,0.0817843866171004,0.0446096654275093
2004,2,0.133574007220217,0.0794223826714801,0.0685920577617329,0.581227436823105,0.0722021660649819,0.0649819494584837
2005,2,0.113314447592068,0.0679886685552408,0.0934844192634561,0.617563739376771,0.0623229461756374,0.0453257790368272
2006,2,0.132743362831858,0.0486725663716814,0.0575221238938053,0.672566371681416,0.0398230088495575,0.0486725663716814
2007,2,0.0874751491053678,0.0616302186878728,0.0636182902584493,0.667992047713718,0.073558648111332,0.0457256461232604
2008,2,0.0920245398773006,0.0552147239263804,0.0470347648261759,0.699386503067485,0.0613496932515337,0.0449897750511247
2009,2,0.0900383141762452,0.0593869731800766,0.053639846743295,0.664750957854406,0.0517241379310345,0.0804597701149425
2010,2,0.0944625407166124,0.0309446254071661,0.0472312703583062,0.692182410423453,0.0700325732899023,0.0651465798045603
2011,2,0.0870253164556962,0.0284810126582278,0.0632911392405063,0.732594936708861,0.0443037974683544,0.0443037974683544
2012,2,0.11178247734139,0.0302114803625378,0.0453172205438066,0.711480362537764,0.0422960725075529,0.0589123867069486
