examy,cat_age,aa,ha,hc,hh,ac,cc
1979,1,0.0434782608695652,0.173913043478261,0.0434782608695652,0.739130434782609,0,0
1980,1,0,0.0869565217391304,0,0.91304347826087,0,0
1981,1,0,0,0.037037037037037,0.851851851851852,0.0740740740740741,0.037037037037037
1982,1,0.0833333333333333,0,0.0833333333333333,0.666666666666667,0.125,0.0416666666666667
1983,1,0.0454545454545455,0,0.0227272727272727,0.75,0.0681818181818182,0.113636363636364
1984,1,0,0.0350877192982456,0.0175438596491228,0.824561403508772,0.0701754385964912,0.0526315789473684
1985,1,0.0103092783505155,0.0515463917525773,0,0.845360824742268,0.0618556701030928,0.0309278350515464
1986,1,0.00961538461538462,0.00961538461538462,0.00961538461538462,0.884615384615385,0.0288461538461538,0.0576923076923077
1987,1,0.0232558139534884,0.0116279069767442,0.0116279069767442,0.883720930232558,0.0116279069767442,0.0581395348837209
1988,1,0.0111111111111111,0.0444444444444444,0.0111111111111111,0.922222222222222,0,0.0111111111111111
1989,1,0,0.021505376344086,0.010752688172043,0.903225806451613,0.0537634408602151,0.010752688172043
1990,1,0.0470588235294118,0.0117647058823529,0.0470588235294118,0.870588235294118,0.0117647058823529,0.0117647058823529
1991,1,0.0416666666666667,0.0208333333333333,0.0104166666666667,0.875,0.03125,0.0208333333333333
1992,1,0,0.0631578947368421,0.0105263157894737,0.726315789473684,0.147368421052632,0.0526315789473684
1993,1,0.0510204081632653,0.0102040816326531,0.0306122448979592,0.76530612244898,0.13265306122449,0.0102040816326531
1994,1,0.0434782608695652,0.0434782608695652,0.0347826086956522,0.747826086956522,0.104347826086957,0.0260869565217391
1995,1,0.0492957746478873,0.0140845070422535,0.00704225352112676,0.78169014084507,0.112676056338028,0.0352112676056338
1996,1,0.0275862068965517,0.0206896551724138,0.0620689655172414,0.731034482758621,0.117241379310345,0.0413793103448276
1997,1,0.0426829268292683,0.024390243902439,0.0426829268292683,0.780487804878049,0.0487804878048781,0.0609756097560976
1998,1,0.0397727272727273,0.0284090909090909,0.0568181818181818,0.698863636363636,0.0795454545454545,0.0965909090909091
1999,1,0.0654205607476635,0.0373831775700935,0.0373831775700935,0.738317757009346,0.0560747663551402,0.0654205607476635
2000,1,0.0393700787401575,0.0590551181102362,0.047244094488189,0.751968503937008,0.0433070866141732,0.0590551181102362
2001,1,0.0541666666666667,0.0333333333333333,0.0583333333333333,0.716666666666667,0.0791666666666667,0.0583333333333333
2002,1,0.0569105691056911,0.0487804878048781,0.0447154471544715,0.739837398373984,0.0569105691056911,0.0528455284552846
2003,1,0.0300751879699248,0.0488721804511278,0.0714285714285714,0.691729323308271,0.0714285714285714,0.0864661654135338
2004,1,0.0440677966101695,0.0610169491525424,0.0576271186440678,0.722033898305085,0.0338983050847458,0.0813559322033898
2005,1,0.0415512465373961,0.0415512465373961,0.0581717451523546,0.673130193905817,0.0969529085872576,0.0886426592797784
2006,1,0.0585774058577406,0.0397489539748954,0.0732217573221757,0.723849372384937,0.0418410041841004,0.0627615062761506
2007,1,0.0326678765880218,0.0199637023593466,0.0362976406533575,0.780399274047187,0.058076225045372,0.0725952813067151
2008,1,0.037344398340249,0.04149377593361,0.0352697095435685,0.778008298755187,0.0311203319502075,0.0767634854771784
2009,1,0.0394736842105263,0.037280701754386,0.0482456140350877,0.782894736842105,0.0328947368421053,0.0592105263157895
2010,1,0.0487238979118329,0.0301624129930394,0.0556844547563805,0.721577726218097,0.037122969837587,0.106728538283063
2011,1,0.0261780104712042,0.0287958115183246,0.0549738219895288,0.743455497382199,0.0418848167539267,0.104712041884817
2012,1,0.0380047505938242,0.0190023752969121,0.0522565320665083,0.762470308788599,0.0380047505938242,0.0902612826603325
