examy,cat_age,haa,hha,hhh,hhc,hcc,acc,ccc,aac,hac,aaa
1979,2,0,0,1,0,0,0,0,0,0,0
1980,2,0,0,0.75,0.125,0.125,0,0,0,0,0
1981,2,0,0,0.5,0.5,0,0,0,0,0,0
1982,2,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.454545454545455,0,0,0
1983,2,0.0909090909090909,0,0.363636363636364,0,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0
1984,2,0,0,0.454545454545455,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0
1985,2,0,0,0.739130434782609,0.0869565217391304,0.0869565217391304,0.0869565217391304,0,0,0,0
1986,2,0,0,0.909090909090909,0,0,0.0454545454545455,0,0.0454545454545455,0,0
1987,2,0,0,0.666666666666667,0,0,0.133333333333333,0,0.2,0,0
1988,2,0,0.117647058823529,0.764705882352941,0,0,0,0,0.117647058823529,0,0
1989,2,0.0454545454545455,0,0.772727272727273,0,0.0454545454545455,0,0.0454545454545455,0,0.0909090909090909,0
1990,2,0,0,0.833333333333333,0.0555555555555556,0,0,0,0.111111111111111,0,0
1991,2,0,0.0714285714285714,0.714285714285714,0,0,0,0,0.0714285714285714,0.0714285714285714,0.0714285714285714
1992,2,0.0476190476190476,0,0.80952380952381,0.0476190476190476,0,0,0.0476190476190476,0,0,0.0476190476190476
1993,2,0,0.153846153846154,0.538461538461538,0.0769230769230769,0,0,0,0.153846153846154,0,0.0769230769230769
1994,2,0,0,0.473684210526316,0.105263157894737,0,0.105263157894737,0,0.105263157894737,0.105263157894737,0.105263157894737
1995,2,0,0.105263157894737,0.578947368421053,0.0526315789473684,0,0.105263157894737,0,0.0526315789473684,0.105263157894737,0
1996,2,0,0.0625,0.75,0,0,0,0,0,0.0625,0.125
1997,2,0,0,0.7,0.133333333333333,0,0,0.0333333333333333,0.0333333333333333,0,0.1
1998,2,0.0303030303030303,0,0.727272727272727,0.0606060606060606,0,0.0303030303030303,0.0303030303030303,0,0.0909090909090909,0.0303030303030303
1999,2,0.0789473684210526,0.0526315789473684,0.631578947368421,0.105263157894737,0,0,0.0263157894736842,0,0.0263157894736842,0.0789473684210526
2000,2,0.0166666666666667,0.0333333333333333,0.683333333333333,0.05,0.05,0.05,0.0166666666666667,0.05,0.0166666666666667,0.0333333333333333
2001,2,0,0.0625,0.640625,0.03125,0.046875,0.03125,0,0.03125,0.03125,0.125
2002,2,0.0357142857142857,0.0595238095238095,0.464285714285714,0.0357142857142857,0.0238095238095238,0.0595238095238095,0.0595238095238095,0.0357142857142857,0.107142857142857,0.119047619047619
2003,2,0.0128205128205128,0,0.641025641025641,0.0769230769230769,0.0512820512820513,0.0256410256410256,0.0128205128205128,0.0384615384615385,0.0384615384615385,0.102564102564103
2004,2,0.0375,0.0625,0.525,0.0625,0.0125,0.0125,0.075,0.025,0.15,0.0375
2005,2,0.024390243902439,0.024390243902439,0.475609756097561,0.0609756097560976,0.024390243902439,0.0121951219512195,0.0609756097560976,0.0365853658536585,0.146341463414634,0.134146341463415
2006,2,0.00884955752212389,0.0707964601769911,0.52212389380531,0.0442477876106195,0.0176991150442478,0.00884955752212389,0.0353982300884956,0.0619469026548673,0.123893805309735,0.106194690265487
2007,2,0.027027027027027,0.0630630630630631,0.54954954954955,0.036036036036036,0.018018018018018,0.00900900900900901,0.027027027027027,0.027027027027027,0.135135135135135,0.108108108108108
2008,2,0.0198019801980198,0.0594059405940594,0.524752475247525,0.0792079207920792,0.0495049504950495,0.0297029702970297,0.0396039603960396,0.0198019801980198,0.099009900990099,0.0792079207920792
2009,2,0,0.0588235294117647,0.490196078431373,0.0294117647058824,0.0392156862745098,0.0490196078431373,0.0392156862745098,0.0392156862745098,0.186274509803922,0.0686274509803922
2010,2,0.0181818181818182,0.0454545454545455,0.454545454545455,0.0636363636363636,0.0363636363636364,0.00909090909090909,0.0636363636363636,0.0363636363636364,0.209090909090909,0.0636363636363636
2011,2,0.00917431192660551,0.0275229357798165,0.458715596330275,0.055045871559633,0.0275229357798165,0,0.073394495412844,0.036697247706422,0.220183486238532,0.0917431192660551
2012,2,0.0099009900990099,0.0396039603960396,0.435643564356436,0.0792079207920792,0.0396039603960396,0.0198019801980198,0.0594059405940594,0,0.227722772277228,0.0891089108910891
