examy,cat_age,haa,hha,hhh,hhc,hcc,acc,ccc,aac,hac,aaa
1979,1,0.285714285714286,0.142857142857143,0.571428571428571,0,0,0,0,0,0,0
1980,1,0,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0
1981,1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0
1982,1,0,0,0.6,0.2,0.2,0,0,0,0,0
1983,1,0,0,0.75,0,0.25,0,0,0,0,0
1984,1,0.0555555555555556,0.0555555555555556,0.888888888888889,0,0,0,0,0,0,0
1985,1,0,0.0588235294117647,0.852941176470588,0.0294117647058824,0,0.0294117647058824,0.0294117647058824,0,0,0
1986,1,0,0.0263157894736842,0.815789473684211,0.0263157894736842,0,0.0263157894736842,0.0526315789473684,0,0.0263157894736842,0.0263157894736842
1987,1,0.0294117647058824,0,0.911764705882353,0,0,0,0,0.0294117647058824,0.0294117647058824,0
1988,1,0,0,0.931034482758621,0,0,0,0.0344827586206897,0.0344827586206897,0,0
1989,1,0,0.037037037037037,0.925925925925926,0,0,0,0.037037037037037,0,0,0
1990,1,0.04,0,0.96,0,0,0,0,0,0,0
1991,1,0,0,1,0,0,0,0,0,0,0
1992,1,0,0.032258064516129,0.903225806451613,0,0,0,0.032258064516129,0,0,0.032258064516129
1993,1,0,0,0.944444444444444,0,0,0,0,0,0,0.0555555555555556
1994,1,0.0344827586206897,0.0344827586206897,0.793103448275862,0,0,0,0,0.0689655172413793,0.0344827586206897,0.0344827586206897
1995,1,0,0.032258064516129,0.838709677419355,0,0,0,0,0.0645161290322581,0.0645161290322581,0
1996,1,0,0.0208333333333333,0.770833333333333,0.0416666666666667,0.0208333333333333,0.0625,0,0.0416666666666667,0.0208333333333333,0.0208333333333333
1997,1,0,0,0.948717948717949,0,0,0,0,0.0256410256410256,0.0256410256410256,0
1998,1,0,0.0465116279069767,0.767441860465116,0.0232558139534884,0,0.0465116279069767,0.0232558139534884,0.0232558139534884,0.0465116279069767,0.0232558139534884
1999,1,0,0.0810810810810811,0.702702702702703,0.0540540540540541,0,0,0.0540540540540541,0,0.0810810810810811,0.027027027027027
2000,1,0.0289855072463768,0.0289855072463768,0.753623188405797,0.0434782608695652,0.0144927536231884,0.0289855072463768,0,0.0144927536231884,0.0289855072463768,0.0579710144927536
2001,1,0.0181818181818182,0.0909090909090909,0.690909090909091,0.0545454545454545,0,0,0.0363636363636364,0.0363636363636364,0.0545454545454545,0.0181818181818182
2002,1,0.0172413793103448,0.0344827586206897,0.724137931034483,0,0.0172413793103448,0.0172413793103448,0.0344827586206897,0.0172413793103448,0.0517241379310345,0.0862068965517241
2003,1,0.038961038961039,0.025974025974026,0.701298701298701,0.012987012987013,0.025974025974026,0.038961038961039,0.038961038961039,0,0.0779220779220779,0.038961038961039
2004,1,0,0.0779220779220779,0.61038961038961,0.051948051948052,0.012987012987013,0.025974025974026,0.0649350649350649,0.025974025974026,0.0779220779220779,0.051948051948052
2005,1,0,0.0208333333333333,0.625,0.0416666666666667,0.03125,0.0416666666666667,0.0729166666666667,0.0104166666666667,0.09375,0.0625
2006,1,0,0.0232558139534884,0.627906976744186,0.0465116279069767,0.0348837209302326,0.0348837209302326,0.0465116279069767,0.0232558139534884,0.104651162790698,0.0581395348837209
2007,1,0,0.0476190476190476,0.666666666666667,0.0119047619047619,0.0476190476190476,0.0357142857142857,0.0357142857142857,0.0119047619047619,0.0833333333333333,0.0595238095238095
2008,1,0,0.0533333333333333,0.666666666666667,0.0533333333333333,0.0133333333333333,0,0.04,0.0133333333333333,0.12,0.04
2009,1,0,0.0379746835443038,0.658227848101266,0.0379746835443038,0.0253164556962025,0,0.0632911392405063,0.0126582278481013,0.139240506329114,0.0253164556962025
2010,1,0.0246913580246914,0.0246913580246914,0.54320987654321,0.0493827160493827,0.0617283950617284,0,0.037037037037037,0.037037037037037,0.172839506172839,0.0493827160493827
2011,1,0,0.0140845070422535,0.507042253521127,0.112676056338028,0.0140845070422535,0.028169014084507,0.0985915492957746,0.028169014084507,0.169014084507042,0.028169014084507
2012,1,0,0,0.568965517241379,0.0517241379310345,0.0172413793103448,0.0172413793103448,0.103448275862069,0,0.224137931034483,0.0172413793103448
