examy,cat_age,aaaa,hhhh,cccc,aacc,hacc,hhaa,hhha,hhac,accc,aaac,hhcc,hhhc,haaa,hccc,haac
1979,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1980,2,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1981,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1982,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1983,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
1984,2,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0,0,0,0,0,0,0,0
1985,2,0,0.846153846153846,0,0,0,0,0.0769230769230769,0.0769230769230769,0,0,0,0,0,0,0
1986,2,0,0.6,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0
1987,2,0,0.7,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0
1988,2,0,0.777777777777778,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0
1989,2,0.1,0.5,0,0.1,0,0,0,0,0,0.3,0,0,0,0,0
1990,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,2,0,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0
1994,2,0.0833333333333333,0.833333333333333,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0
1995,2,0.3,0.5,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
1996,2,0.1875,0.625,0,0.0625,0,0,0.0625,0,0,0,0,0.0625,0,0,0
1997,2,0.0588235294117647,0.470588235294118,0,0.117647058823529,0,0,0.0588235294117647,0.0588235294117647,0,0,0,0.117647058823529,0.0588235294117647,0.0588235294117647,0
1998,2,0.0555555555555556,0.444444444444444,0,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,0.0555555555555556,0,0,0
1999,2,0.125,0.625,0.0416666666666667,0,0,0.0416666666666667,0,0.0833333333333333,0,0,0,0.0833333333333333,0,0,0
2000,2,0.0714285714285714,0.571428571428571,0,0.0357142857142857,0,0,0.107142857142857,0,0,0,0,0.178571428571429,0.0357142857142857,0,0
2001,2,0,0.464285714285714,0,0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0,0.0357142857142857,0.107142857142857,0.107142857142857,0.107142857142857,0.0357142857142857,0
2002,2,0.0476190476190476,0.428571428571429,0.0952380952380952,0.0476190476190476,0,0,0,0.142857142857143,0,0.0476190476190476,0,0.142857142857143,0.0476190476190476,0,0
2003,2,0.146341463414634,0.390243902439024,0.0487804878048781,0.0487804878048781,0,0.024390243902439,0.0487804878048781,0.121951219512195,0,0.024390243902439,0.024390243902439,0.0487804878048781,0.024390243902439,0.024390243902439,0.024390243902439
2004,2,0.0263157894736842,0.526315789473684,0.0526315789473684,0.0789473684210526,0.0263157894736842,0.0263157894736842,0.0789473684210526,0,0,0.0263157894736842,0,0.105263157894737,0.0263157894736842,0.0263157894736842,0
2005,2,0.108108108108108,0.459459459459459,0.027027027027027,0.0540540540540541,0,0,0.0540540540540541,0.108108108108108,0.027027027027027,0,0.027027027027027,0.0540540540540541,0,0.0540540540540541,0.027027027027027
2006,2,0.0285714285714286,0.571428571428571,0.0571428571428571,0.0571428571428571,0,0,0.0571428571428571,0.0857142857142857,0.0285714285714286,0.0285714285714286,0,0.0285714285714286,0,0,0.0571428571428571
2007,2,0.0487804878048781,0.609756097560976,0.0487804878048781,0.0487804878048781,0,0,0.0731707317073171,0.0487804878048781,0.024390243902439,0.024390243902439,0,0.0487804878048781,0.024390243902439,0,0
2008,2,0,0.644444444444444,0,0.0666666666666667,0.0444444444444444,0,0.0888888888888889,0.0888888888888889,0,0,0,0.0222222222222222,0.0222222222222222,0.0222222222222222,0
2009,2,0.0238095238095238,0.428571428571429,0.0476190476190476,0.0476190476190476,0.0238095238095238,0,0.0238095238095238,0.19047619047619,0.0238095238095238,0.0476190476190476,0,0.0952380952380952,0.0238095238095238,0,0.0238095238095238
2010,2,0.125,0.410714285714286,0.0178571428571429,0.0714285714285714,0,0.0357142857142857,0.0535714285714286,0.125,0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0,0.0178571428571429,0.0357142857142857
2011,2,0,0.475,0.05,0.075,0.025,0,0,0.225,0,0,0.025,0.05,0,0.05,0.025
2012,2,0.0638297872340425,0.446808510638298,0.0425531914893617,0,0,0.0212765957446809,0.0425531914893617,0.234042553191489,0,0,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0638297872340425,0.0212765957446809
