examy,cat_age,aaaa,hhhh,cccc,aacc,hacc,hhaa,hhha,hhac,accc,aaac,hhcc,hhhc,haaa,hccc,haac
1979,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
1982,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1983,1,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,0,0.8,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0
1985,1,0,0.9375,0,0.0625,0,0,0,0,0,0,0,0,0,0,0
1986,1,0,0.769230769230769,0.0769230769230769,0,0.0769230769230769,0,0,0,0.0769230769230769,0,0,0,0,0,0
1987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,0,0.928571428571429,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0
1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,1,0,0.916666666666667,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0
1993,1,0,0.777777777777778,0,0,0,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0
1994,1,0,0.928571428571429,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0
1995,1,0,0.894736842105263,0,0,0,0,0.0526315789473684,0,0,0,0.0526315789473684,0,0,0,0
1996,1,0.05,0.75,0.05,0.05,0,0,0.1,0,0,0,0,0,0,0,0
1997,1,0,0.894736842105263,0,0,0,0,0,0,0,0.0526315789473684,0.0526315789473684,0,0,0,0
1998,1,0,0.764705882352941,0,0,0,0,0,0,0,0,0.0588235294117647,0.0588235294117647,0,0.0588235294117647,0.0588235294117647
1999,1,0,0.807692307692308,0,0,0,0,0.0384615384615385,0,0.0384615384615385,0,0.0769230769230769,0,0,0,0.0384615384615385
2000,1,0.0833333333333333,0.625,0.0416666666666667,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0,0,0,0,0.0416666666666667,0,0.0416666666666667,0.0416666666666667
2001,1,0,0.75,0,0,0,0,0.09375,0.03125,0,0,0.0625,0,0,0.03125,0.03125
2002,1,0,0.8,0,0,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0666666666666667,0,0,0,0,0.0333333333333333,0
2003,1,0.0645161290322581,0.741935483870968,0,0.0645161290322581,0,0,0.032258064516129,0.0645161290322581,0,0,0,0,0,0,0.032258064516129
2004,1,0.0263157894736842,0.684210526315789,0,0.0263157894736842,0.0263157894736842,0,0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0526315789473684,0,0.0263157894736842,0.0789473684210526,0
2005,1,0.0285714285714286,0.685714285714286,0.0571428571428571,0,0,0,0.0571428571428571,0.0285714285714286,0,0,0.0571428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0
2006,1,0.0512820512820513,0.58974358974359,0.0256410256410256,0.0512820512820513,0,0.0256410256410256,0.0769230769230769,0,0,0.102564102564103,0.0256410256410256,0,0,0.0256410256410256,0.0256410256410256
2007,1,0.0454545454545455,0.613636363636364,0.0681818181818182,0.0227272727272727,0,0.0227272727272727,0.0227272727272727,0.0454545454545455,0,0.0227272727272727,0,0.0454545454545455,0,0.0454545454545455,0.0454545454545455
2008,1,0.0357142857142857,0.678571428571429,0,0.0357142857142857,0.0357142857142857,0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0,0.0357142857142857,0.0357142857142857,0,0,0.0357142857142857
2009,1,0.027027027027027,0.810810810810811,0.0540540540540541,0,0,0,0,0,0,0,0.027027027027027,0.027027027027027,0,0.0540540540540541,0
2010,1,0.0681818181818182,0.613636363636364,0.159090909090909,0,0,0,0.0227272727272727,0.0681818181818182,0.0454545454545455,0,0,0,0,0.0227272727272727,0
2011,1,0.037037037037037,0.62962962962963,0.111111111111111,0.037037037037037,0,0,0,0.037037037037037,0.037037037037037,0,0,0.0740740740740741,0,0,0.037037037037037
2012,1,0,0.53125,0,0.03125,0,0,0.0625,0.28125,0.03125,0,0.03125,0.03125,0,0,0
