examy,cat_age,hhhhh,hhhhc,acccc,aaccc,aaacc,hhccc,hhhaa,ccccc,hhacc,haacc,hhhha,aaaaa,hhaac,haaac,hhhac,hcccc,haccc,hhhcc,aaaac,hhaaa,haaaa
1979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,0.25,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,0.75,0,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
1986,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,0.857142857142857,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0
1988,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,0.916666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.111111111111111,0,0,0,0,0
1997,1,0.785714285714286,0,0,0,0,0,0.0714285714285714,0,0,0,0.0714285714285714,0,0,0,0,0.0714285714285714,0,0,0,0,0
1998,1,0.777777777777778,0,0,0,0,0.111111111111111,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0
1999,1,0.833333333333333,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0
2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,0.6875,0.125,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.125,0,0,0,0,0
2002,1,0.875,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,0.625,0,0.0625,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0.0625,0,0.0625,0,0.0625,0,0
2004,1,0.6875,0.0625,0,0,0,0,0.0625,0,0.0625,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0
2005,1,0.769230769230769,0.0769230769230769,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0.0769230769230769,0,0,0,0,0,0
2006,1,0.740740740740741,0.037037037037037,0,0,0,0,0,0.037037037037037,0,0.037037037037037,0.037037037037037,0,0,0,0.037037037037037,0.037037037037037,0.037037037037037,0,0,0,0
2007,1,0.833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0
2008,1,0.8,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0
2009,1,0.833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0
2010,1,0.6,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0
2011,1,0.285714285714286,0.0714285714285714,0,0,0,0.0714285714285714,0,0.0714285714285714,0,0.142857142857143,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0.142857142857143,0,0,0.0714285714285714
2012,1,0.583333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0,0,0.166666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0
